Type,Object,count,Group,Items,NItems,Proportion
minecraft:crafting_shaped,acacia_boat,1,boat,['acacia_planks'],[5],[1.0]
minecraft:crafting_shapeless,acacia_button,1,wooden_button,['acacia_planks'],[1],[1.0]
minecraft:crafting_shapeless,acacia_chest_boat,1,chest_boat,"['chest', 'acacia_boat']","[1, 1]","[0.5, 0.5]"
minecraft:crafting_shaped,acacia_door,3,wooden_door,['acacia_planks'],[6],[1.0]
minecraft:crafting_shaped,acacia_fence,3,wooden_fence,"['stick', 'acacia_planks']","[2, 4]","[0.3333333333333333, 0.6666666666666666]"
minecraft:crafting_shaped,acacia_fence_gate,1,wooden_fence_gate,"['stick', 'acacia_planks']","[4, 2]","[0.6666666666666666, 0.3333333333333333]"
minecraft:crafting_shapeless,acacia_planks,4,planks,['acacia_logs'],[1],[1.0]
minecraft:crafting_shaped,acacia_pressure_plate,1,wooden_pressure_plate,['acacia_planks'],[2],[1.0]
minecraft:crafting_shaped,acacia_sign,3,wooden_sign,"['acacia_planks', 'stick']","[6, 1]","[0.8571428571428571, 0.14285714285714285]"
minecraft:crafting_shaped,acacia_slab,6,wooden_slab,['acacia_planks'],[3],[1.0]
minecraft:crafting_shaped,acacia_stairs,4,wooden_stairs,['acacia_planks'],[6],[1.0]
minecraft:crafting_shaped,acacia_trapdoor,2,wooden_trapdoor,['acacia_planks'],[6],[1.0]
minecraft:crafting_shaped,acacia_wood,3,bark,['acacia_log'],[4],[1.0]
minecraft:crafting_shaped,activator_rail,6,,"['redstone_torch', 'stick', 'iron_ingot']","[1, 2, 6]","[0.1111111111111111, 0.2222222222222222, 0.6666666666666666]"
minecraft:crafting_shaped,amethyst_block,1,,['amethyst_shard'],[4],[1.0]
minecraft:crafting_shapeless,andesite,2,,"['diorite', 'cobblestone']","[1, 1]","[0.5, 0.5]"
minecraft:crafting_shaped,andesite_slab,6,,['andesite'],[3],[1.0]
minecraft:stonecutting,andesite_slab,1,,['andesite'],[1],[1.0]
minecraft:crafting_shaped,andesite_stairs,4,,['andesite'],[6],[1.0]
